,Tmin,DateTime
34,62.06,2015-07-05
35,62.96,2015-07-06
36,62.96,2015-07-07
37,64.04,2015-07-08
38,64.94,2015-07-09
39,62.96,2015-07-10
40,62.06,2015-07-11
41,62.06,2015-07-12
42,64.04,2015-07-13
43,64.94,2015-07-14
44,64.04,2015-07-15
45,64.04,2015-07-16
46,64.04,2015-07-17
47,64.04,2015-07-18
48,64.04,2015-07-19
49,71.96,2015-07-20
50,,2015-07-21
51,68.0,2015-07-22
52,66.92,2015-07-23
53,68.0,2015-07-24
54,66.92,2015-07-25
55,68.0,2015-07-26
56,66.92,2015-07-27
57,66.92,2015-07-28
58,66.02,2015-07-29
59,64.94,2015-07-30
60,66.92,2015-07-31
61,66.92,2015-08-01
62,66.92,2015-08-02
63,68.0,2015-08-03
64,66.92,2015-08-04
65,66.02,2015-08-05
66,66.02,2015-08-06
67,66.92,2015-08-07
68,66.02,2015-08-08
69,64.94,2015-08-09
70,64.04,2015-08-10
71,64.94,2015-08-11
72,64.04,2015-08-12
73,64.04,2015-08-13
74,68.0,2015-08-14
75,69.08,2015-08-15
76,69.08,2015-08-16
77,68.0,2015-08-17
78,68.0,2015-08-18
79,66.92,2015-08-19
80,66.02,2015-08-20
81,66.92,2015-08-21
82,66.92,2015-08-22
83,66.92,2015-08-23
84,66.02,2015-08-24
85,64.04,2015-08-25
86,68.0,2015-08-26
87,69.08,2015-08-27
88,71.06,2015-08-28
89,71.96,2015-08-29
90,69.98,2015-08-30
91,69.98,2015-08-31
0,59.0,2016-06-01
1,60.08,2016-06-02
2,57.02,2016-06-03
3,57.92,2016-06-04
4,57.92,2016-06-05
5,55.94,2016-06-06
6,57.02,2016-06-07
7,59.0,2016-06-08
8,59.0,2016-06-09
9,60.08,2016-06-10
10,60.08,2016-06-11
11,62.06,2016-06-12
12,60.98,2016-06-13
13,59.0,2016-06-14
14,59.0,2016-06-15
15,60.98,2016-06-16
16,62.96,2016-06-17
17,60.08,2016-06-18
18,60.98,2016-06-19
19,64.04,2016-06-20
20,66.92,2016-06-21
21,,2016-06-22
22,62.96,2016-06-23
23,64.04,2016-06-24
24,62.96,2016-06-25
25,64.94,2016-06-26
26,64.94,2016-06-27
27,64.94,2016-06-28
28,66.02,2016-06-29
29,64.94,2016-06-30
30,66.02,2016-07-01
31,66.02,2016-07-02
32,64.04,2016-07-03
33,64.04,2016-07-04
34,64.04,2016-07-05
35,64.04,2016-07-06
36,64.04,2016-07-07
37,64.04,2016-07-08
38,64.94,2016-07-09
39,62.96,2016-07-10
40,66.02,2016-07-11
41,64.04,2016-07-12
42,66.02,2016-07-13
43,64.94,2016-07-14
44,64.04,2016-07-15
45,62.96,2016-07-16
46,64.04,2016-07-17
47,64.04,2016-07-18
48,66.02,2016-07-19
49,64.94,2016-07-20
50,64.94,2016-07-21
51,68.0,2016-07-22
52,68.0,2016-07-23
53,69.98,2016-07-24
54,66.92,2016-07-25
55,68.0,2016-07-26
56,66.92,2016-07-27
57,68.0,2016-07-28
58,69.08,2016-07-29
59,69.08,2016-07-30
60,69.08,2016-07-31
61,69.08,2016-08-01
62,66.92,2016-08-02
63,66.92,2016-08-03
